OverallEpisode #,Original airdate,Iron Chef,Challenger,Challenger Specialty,Theme Ingredient,Winner
1,"October 10, 1993",Yutaka Ishinabe,Takeshi Maruyama (丸山　剛),Chinese (Cantonese),Salmon,Yutaka Ishinabe
2,"October 17, 1993",Rokusaburo Michiba,Yōsei Kobayakawa (小早川陽青),French,Foie gras,Rokusaburo Michiba
3[1],"October 31, 1993",Chen Kenichi,Paolo Indragoli,Italian,Globefish,Chen Kenichi
4,"November 7, 1993",Yutaka Ishinabe,Toshiyuki Kudō (工藤敏之),French,Tofu,Yutaka Ishinabe
5,"November 14, 1993",Rokusaburo Michiba,"Zhou Tomiteru (周 富輝, Shū Tomiteru)",Chinese (Cantonese),Lobster,Rokusaburo Michiba
6[2],"November 21, 1993",Chen Kenichi,"Cheng Kazuhiko (程　一彦, Tei Kazuhiko)",Chinese (Taiwanese),Octopus,Cheng Kazuhiko
7,"November 28, 1993",Yutaka Ishinabe,Masato Mutō (武藤正人),Japanese,Daikon Radish,Yutaka Ishinabe
8,"December 5, 1993",Rokusaburo Michiba,"Zhou Tomitoku (周 富徳, Shū Tomitoku)",Chinese (Cantonese),Crab,Rokusaburo Michiba
9,"December 12, 1993",Yutaka Ishinabe,Eizō Ōyama (大山栄蔵),Dessert,Banana,Yutaka Ishinabe
10,"December 19, 1993",Yutaka Ishinabe,Jacques Borie,French,Chicken,Jacques Borie
11[3],"January 9, 1994",Rokusaburo Michiba,Zhou Tomitoku,Chinese (Cantonese),Pork,Zhou Tomitoku
12,"January 16, 1994",Chen Kenichi,"Wang Weiping (王偉平, Wan Wīpin)",Chinese (Cantonese),Squid,Chen Kenichi
13,"January 23, 1994",Rokusaburo Michiba,Jun Hoshino (星野 淳),,Egg,Rokusaburo Michiba
14,"January 30, 1994",Rokusaburo Michiba,Toshio Tanabe (田辺年男),French,Sea bream,Rokusaburo Michiba
15,"February 6, 1994",Chen Kenichi,Kōichi Taniguchi (谷口広一),Japanese,Prawn,Chen Kenichi
16,"February 13, 1994",Rokusaburo Michiba,Kazuyoshi Masaki (正木数義),Japanese,Anago eel,Rokusaburo Michiba
17,"February 20, 1994",Chen Kenichi,Toshirō Kandagawa,Japanese,Flounder,Toshirō Kandagawa
18[4],"February 27, 1994",Hiroyuki Sakai,Guy Shokr,French,Oyster,Hiroyuki Sakai
19,"March 6, 1994",Chen Kenichi,Shinji Kondō (近藤紳二),Chinese (Shanghai),Wheat flour,Chen Kenichi
20,"March 13, 1994",Hiroyuki Sakai,Hiroyuki Kitami (北見博幸),Italian,Tomato,Hiroyuki Sakai
21[5],"March 20, 1994",Chen Kenichi,Kyōko Kagata (加賀田京子),French,Scallop,Kyōko Kagata
22,"March 27, 1994",Rokusaburo Michiba,Hideaki Otakura (小田倉秀昭),Italian,Cheese,Rokusaburo Michiba
23,"April 8, 1994",Rokusaburo Michiba,Kōichirō Gotō (後藤紘一郎),Japanese,Rice,Rokusaburo Michiba
24,"April 15, 1994",Chen Kenichi,Munetaka Takahashi (高橋宗孝),Japanese,Bamboo shoot,Chen Kenichi
25,"April 22, 1994",Hiroyuki Sakai,Mario Nakagawa (中川麻里生),French,Lamb,Hiroyuki Sakai
26,"April 29, 1994",Rokusaburo Michiba,Yukio Hattori,,Truffle,Rokusaburo Michiba
27,"May 6, 1994",Chen Kenichi,Hiromi Yamada,Italian,Cabbage,Hiromi Yamada
28,"May 13, 1994",Hiroyuki Sakai,Hiromi Funatsu (船津博美),Japanese (Sushi),Bonito,Hiroyuki Sakai
29,"May 20, 1994",Hiroyuki Sakai,Masatoshi Kimura (木村政敏),Chinese (Cantonese),Duck,Hiroyuki Sakai
30,"May 27, 1994",Chen Kenichi,Kiyoshi Takahashi (高橋　清),Chinese (Cantonese),Carrot,Chen Kenichi
31,"June 3, 1994",Rokusaburo Michiba,Kuniyuki Ishikawa (石川邦行),Japanese,Natto,Rokusaburo Michiba
32,"June 10, 1994",Rokusaburo Michiba,Katsumi Hanato (花戸克己),Japanese,Sweetfish,Rokusaburo Michiba
33,"June 17, 1994",Hiroyuki Sakai,Yūji Wakiya,Chinese (Shanghai),Sea urchin roe,Hiroyuki Sakai
34,"June 24, 1994",Chen Kenichi,Masahiko Miyamoto (宮本雅彦),French,Milk,Chen Kenichi
35,"July 1, 1994",Chen Kenichi,Kōichi Tabata (田畑孝一),Japanese,Eggplant,Chen Kenichi
36,"July 8, 1994",Rokusaburo Michiba,Takashi Mera (米良　隆),Japanese,Tuna,Rokusaburo Michiba
37,"July 15, 1994",Hiroyuki Sakai,Tadaaki Shimizu (清水忠明),French,Homard lobster,Tadaaki Shimizu
38[6],"July 22, 1994",Rokusaburo Michiba & Chen Kenichi,Joël Bruant & Masashi Furutaka (古高雅史),French,Sea Bass,Joël Bruant & Masashi Furutaka
39,"July 29, 1994",Hiroyuki Sakai,Mitsuru Saitō (斎藤　満),Chinese (Cantonese),Beef,Hiroyuki Sakai
40,"August 5, 1994",Rokusaburo Michiba,Yasuhiko Yoshida (吉田靖彦),Japanese,Eel,Rokusaburo Michiba
41,"August 12, 1994",Hiroyuki Sakai,Hirohisa Koyama (小山裕久),Japanese,Pike eel,Hiroyuki Sakai
42,"August 19, 1994",Chen Kenichi,Katsuyo Kobayashi (小林カツ代),Home cooking,Potato,Katsuyo Kobayashi
43,"August 26, 1994",Rokusaburo Michiba,Keiji Nakazawa (中澤敬二)[7],French,Corn,Rokusaburo Michiba
44,"September 2, 1994",Chen Kenichi,Hideki Ōsako (大迫秀樹),Italian,Mushroom,Chen Kenichi
45,"September 9, 1994",Rokusaburo Michiba,Artur Rütter,French,Bell pepper,Artur Rütter
46,"September 16, 1994",Rokusaburo Michiba,Tsutomu Hiroi (廣井　勉),French,Pacific saury,Rokusaburo Michiba
47,"September 23, 1994",Hiroyuki Sakai,Sotetsu Fujii (藤井宗哲),Japanese,Yam,Hiroyuki Sakai
48,"September 30, 1994",Chen Kenichi,Takashi Saitō (斉藤隆士),Chinese (Szechuan),Prawn,Chen Kenichi
49,"October 7, 1994",Hiroyuki Sakai,Masamitsu Takahashi (高橋正光),Japanese,Matsutake mushroom,Masamitsu Takahashi
50,"October 14, 1994",Rokusaburo Michiba,"Xu Peirong (許沛榮, Hoi Choiwen)",Chinese (Cantonese),Shark fin,Rokusaburo Michiba
51,"October 21, 1994",Hiroyuki Sakai,Katsuyuki Sekihata (関端克之),French,Bread,Hiroyuki Sakai
